Absorbance: 0.21	
646.908	0.57	
647.32	0.57	
647.732	0.57	
648.144	0.58	
648.556	0.58	
648.968	0.59	
649.38	0.59	
649.791	0.59	
650.203	0.61	
650.615	0.61	
651.026	0.62	
651.438	0.63	
651.849	0.62	
652.261	0.63	
652.672	0.63	
653.083	0.64	
653.495	0.65	
653.906	0.65	
654.317	0.65	
654.728	0.66	
655.139	0.66	
655.55	0.66	
655.961	0.67	
656.372	0.67	
656.783	0.68	
657.193	0.69	
657.604	0.69	
658.015	0.7	
658.425	0.71	
658.836	0.72	
659.246	0.71	
659.657	0.72	
660.067	0.72	
660.478	0.74	
660.888	0.74	
661.298	0.74	
661.708	0.75	
662.119	0.76	
662.529	0.75	
662.939	0.77	
663.349	0.77	
663.759	0.78	
664.169	0.78	
664.578	0.78	
664.988	0.8	
665.398	0.8	
665.808	0.81	
666.217	0.82	
666.627	0.81	
667.036	0.82	
667.446	0.83	
667.855	0.83	
668.265	0.84	
668.674	0.84	
669.083	0.84	
669.492	0.86	
669.902	0.86	
670.311	0.87	
670.72	0.86	
671.129	0.87	
671.538	0.88	
671.947	0.88	
672.355	0.89	
672.764	0.9	
673.173	0.9	
673.582	0.91	
673.99	0.9	
674.399	0.91	
674.807	0.92	
675.216	0.92	
675.624	0.92	
676.033	0.93	
676.441	0.94	
676.849	0.94	
677.258	0.96	
677.666	0.95	
678.074	0.96	
678.482	0.97	
678.89	0.97	
679.298	0.96	
679.706	0.97	
680.114	0.98	
680.522	0.99	
680.929	0.99	
681.337	1	
681.745	1	
682.152	0.99	
682.56	1.02	
682.967	1.01	
683.375	1.01	
683.782	1.02	
684.189	1.02	
684.597	1.02	
685.004	1.03	
685.411	1.03	
685.818	1.05	
686.225	1.04	
686.632	1.04	
687.039	1.06	
687.446	1.06	
687.853	1.05	
688.26	1.06	
688.667	1.06	
689.073	1.06	
689.48	1.07	
689.887	1.07	
690.293	1.08	
690.7	1.08	
691.106	1.08	
691.513	1.1	
691.919	1.09	
692.325	1.1	
692.732	1.11	
693.138	1.11	
693.544	1.11	
693.95	1.11	
694.356	1.11	
694.762	1.13	
695.168	1.11	
695.574	1.14	
695.98	1.13	
696.385	1.14	
696.791	1.14	
697.197	1.14	
697.602	1.14	
698.008	1.15	
698.413	1.14	
698.819	1.16	
699.224	1.15	
699.63	1.15	
700.035	1.17	
700.44	1.15	
700.845	1.18	
701.251	1.17	
701.656	1.16	
702.061	1.17	
702.466	1.17	
702.871	1.17	
703.275	1.17	
703.68	1.19	
704.085	1.2	
704.49	1.19	
704.894	1.19	
705.299	1.19	
705.704	1.21	
706.108	1.19	
706.513	1.19	
706.917	1.19	
707.321	1.21	
707.726	1.22	
708.13	1.21	
708.534	1.21	
708.938	1.22	
709.342	1.21	
709.746	1.21	
710.15	1.23	
710.554	1.23	
710.958	1.23	
711.362	1.23	
711.766	1.25	
712.17	1.24	
712.573	1.25	
712.977	1.24	
713.38	1.23	
713.784	1.24	
714.187	1.24	
714.591	1.26	
714.994	1.24	
715.397	1.27	
715.801	1.26	
716.204	1.26	
716.607	1.25	
717.01	1.26	
717.413	1.27	
717.816	1.26	
718.219	1.27	
718.622	1.27	
719.025	1.27	
719.428	1.27	
719.83	1.28	
720.233	1.27	
720.636	1.28	
721.038	1.27	
721.441	1.27	
721.843	1.28	
722.246	1.27	
722.648	1.28	
723.05	1.28	
723.453	1.3	
723.855	1.27	
724.257	1.3	
724.659	1.29	
725.061	1.3	
725.463	1.3	
725.865	1.31	
726.267	1.29	
726.669	1.31	
727.07	1.3	
727.472	1.29	
727.874	1.28	
728.276	1.3	
728.677	1.3	
729.079	1.29	
729.48	1.31	
