Absorbance: 0.24	
634.937	0.42	
635.351	0.42	
635.764	0.42	
636.178	0.42	
636.591	0.43	
637.004	0.42	
637.418	0.43	
637.831	0.42	
638.244	0.43	
638.657	0.43	
639.07	0.44	
639.483	0.45	
639.896	0.44	
640.309	0.44	
640.722	0.44	
641.135	0.45	
641.547	0.45	
641.96	0.46	
642.373	0.45	
642.785	0.45	
643.198	0.46	
643.61	0.46	
644.023	0.46	
644.435	0.46	
644.848	0.46	
645.26	0.47	
645.672	0.47	
646.084	0.48	
646.496	0.47	
646.908	0.48	
647.32	0.47	
647.732	0.47	
648.144	0.48	
648.556	0.49	
648.968	0.48	
649.38	0.48	
649.791	0.48	
650.203	0.49	
650.615	0.49	
651.026	0.49	
651.438	0.49	
651.849	0.5	
652.261	0.5	
652.672	0.49	
653.083	0.5	
653.495	0.49	
653.906	0.5	
654.317	0.5	
654.728	0.5	
655.139	0.5	
655.55	0.49	
655.961	0.49	
656.372	0.49	
656.783	0.49	
657.193	0.5	
657.604	0.5	
658.015	0.5	
658.425	0.5	
658.836	0.5	
659.246	0.51	
659.657	0.5	
660.067	0.5	
660.478	0.5	
660.888	0.5	
661.298	0.5	
661.708	0.5	
662.119	0.5	
662.529	0.49	
662.939	0.49	
663.349	0.5	
663.759	0.49	
664.169	0.5	
664.578	0.5	
664.988	0.49	
665.398	0.49	
665.808	0.5	
666.217	0.5	
666.627	0.49	
667.036	0.49	
667.446	0.49	
667.855	0.49	
668.265	0.49	
668.674	0.5	
669.083	0.49	
669.492	0.49	
669.902	0.49	
670.311	0.5	
670.72	0.49	
671.129	0.49	
671.538	0.49	
671.947	0.49	
672.355	0.49	
672.764	0.49	
673.173	0.49	
673.582	0.5	
673.99	0.49	
674.399	0.49	
674.807	0.5	
675.216	0.49	
675.624	0.49	
676.033	0.5	
676.441	0.49	
676.849	0.5	
677.258	0.5	
677.666	0.5	
678.074	0.5	
678.482	0.5	
678.89	0.5	
679.298	0.51	
679.706	0.5	
680.114	0.5	
680.522	0.5	
680.929	0.51	
681.337	0.5	
681.745	0.51	
682.152	0.5	
682.56	0.51	
682.967	0.51	
683.375	0.51	
683.782	0.51	
684.189	0.51	
684.597	0.52	
685.004	0.5	
685.411	0.51	
685.818	0.52	
686.225	0.51	
686.632	0.52	
687.039	0.52	
687.446	0.52	
687.853	0.52	
688.26	0.51	
688.667	0.52	
689.073	0.52	
689.48	0.52	
689.887	0.52	
690.293	0.53	
690.7	0.53	
691.106	0.52	
691.513	0.52	
691.919	0.53	
692.325	0.53	
692.732	0.52	
693.138	0.53	
693.544	0.53	
693.95	0.54	
694.356	0.53	
694.762	0.54	
695.168	0.53	
695.574	0.54	
695.98	0.54	
696.385	0.54	
696.791	0.54	
697.197	0.53	
697.602	0.54	
698.008	0.54	
698.413	0.53	
698.819	0.54	
699.224	0.54	
699.63	0.54	
700.035	0.55	
700.44	0.55	
700.845	0.55	
701.251	0.55	
701.656	0.55	
702.061	0.56	
702.466	0.55	
702.871	0.55	
703.275	0.56	
703.68	0.55	
704.085	0.55	
704.49	0.56	
704.894	0.57	
705.299	0.56	
705.704	0.56	
706.108	0.56	
706.513	0.55	
706.917	0.56	
707.321	0.56	
707.726	0.57	
708.13	0.56	
708.534	0.56	
708.938	0.56	
709.342	0.56	
709.746	0.55	
710.15	0.56	
710.554	0.57	
710.958	0.57	
711.362	0.56	
711.766	0.57	
712.17	0.57	
712.573	0.56	
712.977	0.57	
713.38	0.56	
713.784	0.56	
714.187	0.56	
714.591	0.57	
714.994	0.57	
715.397	0.57	
715.801	0.56	
716.204	0.58	
716.607	0.58	
717.01	0.57	
717.413	0.57	
717.816	0.57	
718.219	0.58	
718.622	0.57	
719.025	0.57	
719.428	0.58	
719.83	0.57	
720.233	0.57	
720.636	0.57	
721.038	0.57	
721.441	0.57	
721.843	0.58	
722.246	0.58	
722.648	0.58	
723.05	0.58	
723.453	0.57	
723.855	0.57	
724.257	0.57	
724.659	0.57	
725.061	0.57	
725.463	0.57	
725.865	0.57	
726.267	0.57	
726.669	0.57	
727.07	0.57	
727.472	0.57	
727.874	0.56	
728.276	0.58	
728.677	0.57	
729.079	0.56	
729.48	0.57	
729.881	0.57	
730.283	0.57	
730.684	0.56	
731.085	0.56	
731.487	0.57	
731.888	0.56	
732.289	0.55	
732.69	0.56	
733.091	0.57	
733.492	0.56	
733.893	0.56	
734.294	0.55	
734.694	0.55	
735.095	0.55	
735.496	0.55	
735.896	0.55	
736.297	0.55	
736.697	0.55	
737.098	0.55	
737.498	0.55	
737.899	0.55	
738.299	0.54	
738.699	0.54	
739.099	0.54	
739.5	0.53	
739.9	0.55	
740.3	0.54	
740.7	0.54	
741.1	0.53	
741.5	0.53	
741.899	0.53	
742.299	0.53	
742.699	0.53	
743.099	0.52	
743.498	0.54	
743.898	0.52	
744.297	0.51	
744.697	0.52	
745.096	0.52	
745.495	0.52	
745.895	0.52	
746.294	0.52	
746.693	0.52	
747.092	0.51	
747.491	0.51	
747.89	0.5	
748.289	0.49	
748.688	0.51	
749.087	0.5	
749.486	0.5	
749.885	0.49	
750.284	0.49	
750.682	0.49	
751.081	0.49	
751.479	0.49	
751.878	0.49	
752.276	0.49	
752.675	0.49	
753.073	0.48	
753.471	0.48	
753.87	0.48	
754.268	0.48	
754.666	0.48	
755.064	0.47	
755.462	0.47	
755.86	0.47	
756.258	0.47	
756.656	0.46	
757.054	0.46	
757.452	0.46	
757.849	0.46	
758.247	0.46	
758.645	0.46	
759.042	0.46	
759.44	0.45	
759.837	0.44	
760.234	0.44	
760.632	0.45	
761.029	0.45	
761.426	0.44	
761.823	0.44	
762.221	0.43	
762.618	0.43	
763.015	0.44	
763.412	0.43	
763.809	0.43	
764.205	0.43	
764.602	0.43	
764.999	0.42	
765.396	0.42	
765.792	0.43	
766.189	0.41	
766.586	0.42	
766.982	0.41	
767.378	0.42	
767.775	0.41	
768.171	0.41	
768.567	0.4	
768.964	0.4	
769.36	0.41	
769.756	0.4	
770.152	0.41	
770.548	0.39	
770.944	0.38	
771.34	0.39	
771.736	0.38	
772.132	0.39	
772.527	0.39	
772.923	0.38	
773.319	0.38	
773.714	0.38	
774.11	0.38	
774.505	0.38	
774.901	0.37	
775.296	0.37	
775.691	0.36	
776.087	0.37	
776.482	0.36	
776.877	0.36	
777.272	0.36	
777.667	0.36	
778.062	0.36	
778.457	0.35	
778.852	0.36	
779.247	0.35	
779.642	0.35	
780.037	0.35	
780.431	0.35	
780.826	0.35	
781.22	0.34	
781.615	0.34	
782.009	0.33	
782.404	0.33	
782.798	0.34	
783.193	0.33	
783.587	0.32	
783.981	0.32	
784.375	0.33	
784.769	0.32	
785.163	0.32	
785.557	0.31	
785.951	0.32	
786.345	0.32	
786.739	0.31	
787.133	0.31	
787.527	0.31	
787.92	0.31	
788.314	0.31	
788.707	0.31	
789.101	0.3	
789.494	0.3	
789.888	0.3	
790.281	0.3	
790.674	0.3	
791.068	0.3	
791.461	0.3	
791.854	0.29	
792.247	0.29	
792.64	0.29	
793.033	0.28	
793.426	0.29	
793.819	0.29	
794.212	0.28	
794.605	0.27	
794.997	0.28	
795.39	0.28	
795.782	0.27	
796.175	0.26	
796.568	0.26	
796.96	0.27	
797.352	0.27	
797.745	0.26	
798.137	0.26	
798.529	0.26	
798.921	0.27	
799.314	0.26	
799.706	0.26	
800.098	0.26	
800.49	0.25	
800.882	0.25	
801.273	0.25	
801.665	0.25	
802.057	0.24	
802.449	0.25	
802.84	0.25	
803.232	0.24	
803.623	0.25	
804.015	0.24	
804.406	0.24	
804.798	0.24	
805.189	0.23	
805.58	0.23	
805.972	0.24	
806.363	0.23	
806.754	0.23	
807.145	0.23	
807.536	0.22	
807.927	0.22	
808.318	0.22	
808.709	0.23	
809.099	0.22	
809.49	0.22	
809.881	0.23	
810.271	0.21	
810.662	0.22	
811.053	0.21	
811.443	0.22	
811.833	0.21	
812.224	0.21	
812.614	0.21	
813.004	0.21	
813.395	0.21	
813.785	0.2	
814.175	0.21	
814.565	0.2	
814.955	0.2	
815.345	0.2	
815.735	0.2	
816.124	0.2	
816.514	0.2	
816.904	0.19	
817.294	0.2	
817.683	0.19	
818.073	0.19	
818.462	0.18	
818.852	0.19	
819.241	0.19	
819.63	0.19	
820.02	0.18	
820.409	0.18	
820.798	0.18	
821.187	0.19	
821.576	0.19	
821.965	0.19	
822.354	0.18	
822.743	0.18	
823.132	0.18	
823.521	0.17	
823.91	0.17	
824.298	0.18	
824.687	0.18	
825.076	0.16	
825.464	0.17	
825.853	0.17	
826.241	0.17	
826.629	0.16	
827.018	0.17	
827.406	0.16	
827.794	0.16	
828.182	0.16	
828.571	0.15	
828.959	0.17	
829.347	0.17	
829.735	0.16	
830.122	0.15	
830.51	0.16	
830.898	0.15	
831.286	0.15	
831.673	0.15	
832.061	0.14	
832.449	0.14	
832.836	0.15	
833.224	0.15	
833.611	0.15	
833.998	0.15	
834.386	0.14	
834.773	0.14	
835.16	0.14	
835.547	0.14	
835.934	0.14	
836.321	0.14	
836.708	0.14	
837.095	0.14	
837.482	0.14	
837.869	0.14	
838.256	0.14	
838.642	0.14	
839.029	0.14	
839.416	0.14	
839.802	0.13	
840.189	0.13	
840.575	0.13	
840.962	0.13	
841.348	0.12	
841.734	0.13	
842.12	0.13	
842.507	0.12	
842.893	0.12	
843.279	0.12	
843.665	0.12	
844.051	0.12	
844.437	0.12	
844.822	0.11	
845.208	0.11	
